Average_AP,Average_SP,Average_Average_Points,Match_Number,Team_ID,Winner
34.96,520.84,127.0772,80,140116,1
34.72,470.68,108.45039999999999,80,99490,1
45.04,479.84,115.5712,80,64218,0
24.533333333333335,431.73333333333335,98.97533333333332,80,155861,0
31.3,392.8,77.996,81,110526,0
41.31818181818182,402.72727272727275,88.34999999999997,81,82537,0
40.04,486.36,97.19439999999999,81,50691,1
38.28,506.8,116.00679999999998,81,111002,1
56.2,671.24,134.06239999999997,82,84097,0
24.36,328.0,63.897999999999996,82,51868,0
19.7,234.0,43.067,82,38371,1
35.6,543.68,99.414,82,125280,1
38.48,390.12,89.32320000000001,83,100219,1
19.555555555555557,381.55555555555554,82.13555555555554,83,159925,1
34.28,421.24,89.74680000000002,83,109305,0
33.16,616.92,78.49,83,98888,0
32.9,534.5,102.53599999999999,84,153399,0
34.46153846153846,506.7692307692308,95.33384615384617,84,156028,0
24.0,402.6666666666667,71.34666666666668,84,162234,1
29.5,514.3125,83.48875,84,139304,1
53.92,586.96,127.2464,85,123261,1
33.19047619047619,515.7142857142857,104.6161904761905,85,140966,1
37.578947368421055,549.8947368421053,103.11999999999999,85,140100,0
43.7,460.6,107.89299999999999,85,154078,0
51.56,619.0,89.2544,86,83437,0
38.88,507.8,123.48200000000001,86,66344,0
34.333333333333336,406.7083333333333,83.63041666666665,86,141234,1
41.32,504.36,101.64920000000001,86,110896,1
24.08,448.24,98.0372,87,112249,0
25.96,468.84,91.77720000000001,87,97118,0
48.666666666666664,549.3333333333334,111.39625000000001,87,141371,1
20.285714285714285,421.14285714285717,73.62714285714286,87,156541,1
35.32,501.36,115.6036,88,72998,0
47.0,519.16,121.9148,88,141601,0
31.142857142857142,379.7142857142857,93.4407142857143,88,133872,1
54.0,621.4,99.20640000000002,88,110370,1
20.263157894736842,429.7894736842105,89.82210526315792,89,134679,0
32.92,573.8,119.6772,89,40093,0
39.041666666666664,575.9166666666666,119.05125,89,138787,1
16.555555555555557,242.88888888888889,44.154444444444444,89,38374,1
28.25,455.0625,82.358125,90,156873,1
39.4,498.64,109.5816,90,110041,1
39.2,428.6,101.48066666666668,90,134029,0
24.96,335.56,68.8476,90,62980,0
34.72,529.12,111.684,91,56090,0
39.142857142857146,443.92857142857144,100.33642857142857,91,140680,0
37.13333333333333,399.93333333333334,85.978,91,107689,1
45.09090909090909,508.27272727272725,117.76181818181817,91,153219,1
36.391304347826086,541.5652173913044,127.65739130434783,92,138786,1
25.56,420.48,83.4972,92,19300,1
28.64,529.08,100.2852,92,93380,0
44.2,518.2,131.6044,92,56089,0
37.94117647058823,458.05882352941177,89.3229411764706,93,113239,0
35.63636363636363,540.2727272727273,83.29454545454544,93,163443,0
